City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Nyurba,RU,51.01,clear sky,63.2842,118.3319,"Гостиница ""Comfort"""
176,Itaituba,BR,89.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
177,Mormugao,IN,76.26,broken clouds,15.4,73.8,Coconut Creek Resort
178,Clyde River,CA,44.83,broken clouds,70.4692,-68.5914,Qamaq Hotel
179,Miram Shah,PK,80.13,clear sky,33.0086,70.0697,Bachelor Hostel
181,Baie-Comeau,CA,55.08,clear sky,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
182,Warwick,US,76.75,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
183,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
184,Tarazona,ES,85.82,overcast clouds,41.9,-1.7333,La Merced de la Concordia
185,Maneadero,MX,68.11,few clouds,31.7167,-116.5667,Casa De Thompson
187,Bandarbeyla,SO,78.87,scattered clouds,9.4942,50.8122,JABIR HOTEL
188,Barrow,US,24.82,overcast clouds,71.2906,-156.7887,King Eider Inn
189,Talcahuano,CL,55.08,broken clouds,-36.7167,-73.1167,departamento comodo
190,Algeciras,ES,71.28,few clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
191,Iqaluit,CA,40.73,few clouds,63.7506,-68.5145,Frobisher Inn
192,Flin Flon,CA,40.84,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
194,Naryan-Mar,RU,41.02,clear sky,67.6713,53.087,Hostel Agat
195,Iyo,JP,65.41,clear sky,33.7514,132.7014,ウェルピア伊予
196,Itarema,BR,79.77,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
198,Svetlogorsk,BY,56.21,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
199,Carnarvon,AU,63.18,clear sky,-24.8667,113.6333,Hospitality Carnarvon
200,Zalantun,CN,54.84,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
