City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Cabo San Lucas,MX,2022-06-02 18:45:30,22.8909,-109.9124,84.61,67,4,11.45,clear sky
222,Wladyslawowo,PL,2022-06-02 18:48:24,54.7909,18.4009,58.55,81,12,13.51,few clouds
223,Bay Roberts,CA,2022-06-02 18:48:24,47.5999,-53.2648,44.51,90,100,10.0,overcast clouds
224,Vredendal,ZA,2022-06-02 18:48:25,-31.6683,18.5012,57.25,39,0,2.95,clear sky
225,Yerofey Pavlovich,RU,2022-06-02 18:48:25,53.9667,121.9667,45.23,92,100,4.68,overcast clouds
226,Dasoguz,TM,2022-06-02 18:48:26,41.8363,59.9666,73.35,35,0,16.11,clear sky
227,Northam,GB,2022-06-02 18:48:26,51.0333,-4.2167,61.66,77,13,3.91,few clouds
228,Leningradskiy,RU,2022-06-02 18:48:27,69.3833,178.4167,55.33,39,100,14.5,overcast clouds
229,Oltu,TR,2022-06-02 18:48:27,40.5498,42.0013,60.55,81,100,4.05,overcast clouds
230,Manono,CD,2022-06-02 18:49:28,-7.3,27.4167,73.78,48,2,5.14,clear sky
231,Bambous Virieux,MU,2022-06-02 18:49:28,-20.3428,57.7575,73.65,78,75,5.75,broken clouds
232,Bontang,ID,2022-06-02 18:49:28,0.1333,117.5,78.87,84,100,1.12,overcast clouds
233,Santa Cruz,BO,2022-06-02 18:49:29,-17.8,-63.1667,65.66,55,75,17.27,broken clouds
234,Severo-Kurilsk,RU,2022-06-02 18:49:29,50.6789,156.125,42.4,90,100,5.12,light rain
235,Rexburg,US,2022-06-02 18:49:07,43.826,-111.7897,73.42,32,0,5.75,clear sky
236,Boa Vista,BR,2022-06-02 18:49:30,2.8197,-60.6733,84.18,70,75,9.22,broken clouds
237,Tabou,CI,2022-06-02 18:49:30,4.423,-7.3528,79.11,84,75,7.65,broken clouds
238,Mezen,RU,2022-06-02 18:49:30,65.8522,44.24,60.49,52,13,8.95,few clouds
239,Sistranda,NO,2022-06-02 18:49:31,63.7256,8.834,51.76,91,31,8.79,scattered clouds
240,Buala,SB,2022-06-02 18:49:31,-8.145,159.5921,79.65,83,100,7.52,light rain
241,Ulladulla,AU,2022-06-02 18:49:31,-35.35,150.4667,46.92,78,100,6.31,overcast clouds
242,Tshane,BW,2022-06-02 18:49:32,-24.0196,21.8684,55.78,31,0,8.93,clear sky
243,Poya,NC,2022-06-02 18:48:15,-21.35,165.15,67.98,84,100,4.97,overcast clouds
244,Babu,CN,2022-06-02 18:49:32,24.4167,111.5167,76.15,94,63,3.38,broken clouds
245,Tazovskiy,RU,2022-06-02 18:49:33,67.4667,78.7,30.72,94,99,17.63,overcast clouds
246,Norman Wells,CA,2022-06-02 18:49:33,65.282,-126.8329,68.04,40,75,8.05,broken clouds
247,Turan,VN,2022-06-02 18:47:31,16.0678,108.2208,78.78,89,75,2.3,broken clouds
248,Cayenne,GF,2022-06-02 18:49:34,4.9333,-52.3333,87.84,58,75,3.44,broken clouds
249,Bentiu,SS,2022-06-02 18:49:34,9.2333,29.8333,85.6,43,74,3.49,broken clouds
250,Taltal,CL,2022-06-02 18:48:14,-25.4,-70.4833,64.02,53,0,3.98,clear sky
251,Cidreira,BR,2022-06-02 18:49:35,-30.1811,-50.2056,55.69,73,100,8.16,overcast clouds
252,Ankazoabo,MG,2022-06-02 18:49:35,-22.2833,44.5167,62.55,65,0,10.22,clear sky
253,Dongsheng,CN,2022-06-02 18:49:35,39.8161,109.9776,70.3,32,100,5.53,overcast clouds
254,Atar,MR,2022-06-02 18:49:36,20.5169,-13.0499,100.45,20,100,24.16,sand
255,Oktyabrskoye,RU,2022-06-02 18:49:36,43.0645,44.7417,68.14,52,2,11.18,clear sky
256,Havoysund,NO,2022-06-02 18:49:37,70.9963,24.6622,55.63,59,12,13.73,few clouds
257,Dwarka,IN,2022-06-02 18:49:37,22.2394,68.9678,81.39,81,12,19.53,few clouds
258,Pryozerne,UA,2022-06-02 18:49:38,45.2698,36.3303,71.56,67,7,5.5,clear sky
259,Magadan,RU,2022-06-02 18:49:38,59.5667,150.8,36.54,90,100,0.76,overcast clouds
260,Laguna,US,2022-06-02 18:49:38,38.421,-121.4238,87.31,34,0,5.75,clear sky
261,Beringovskiy,RU,2022-06-02 18:49:39,63.05,179.3167,39.65,82,27,6.44,scattered clouds
